x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
0.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0
1.0,0.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0
1.0,2.0,0.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0
1.0,2.0,2.0,0.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0
3.0,4.0,4.0,4.0,0.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0
1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0
2.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0
2.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0
3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0
2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0
2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0
2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0
2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0
2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0
5.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,2.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0
7.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,4.0,7.0,2.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0
6.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0
6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0
6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0
6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,3.0
7.0,8.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,4.0
6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0
6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0
6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0
7.0,8.0,8.0,8.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,6.0,4.0,7.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0
